block,trial_number,valid_trial,staircase_trial,motion_direction,quadrant,eccentricity,jitter_dva,flash_dva,flash_seconds,response,probe_offset_dva,staircase_identity,step_size_dva,staircase_direction,staircase_reversals
5,132,valid,C,uniform_control,lower_right,outer,0,11,1,outer,5,catch_trial,0.444444444444444,-1,8
5,133,valid,17,uniform_control,lower_right,outer,-1,10,1,inner,-1.83333333333333,lower_control,0.444444444444444,-1,8
5,134,valid,16,uniform_control,upper_left,inner,0,7,1.25,outer,-1.64814814814815,upper_control,0.296296296296296,-1,10
5,135,valid,17,uniform_control,upper_right,inner,-1,6,1.25,outer,-1.94444444444444,upper_control,0.296296296296296,-1,10
5,136,valid,18,uniform_control,lower_right,inner,0,7,1.25,inner,-1.38888888888889,lower_control,0.444444444444444,1,9
5,137,valid,C,uniform_control,upper_left,inner,0,7,1,outer,5,catch_trial,0.296296296296296,-1,10
5,138,valid,19,petal,upper_right,outer,0,11,0.75,outer,-1.01851851851852,upper_petal,0.296296296296296,1,11
5,139,valid,18,petal,lower_right,outer,1,12,0.75,outer,-1.7,lower_petal,0.2,-1,12
5,140,valid,18,uniform_control,upper_left,outer,0,11,1,inner,-2.24074074074074,upper_control,0.296296296296296,-1,10
5,141,valid,C,petal,lower_left,inner,0,7,1,inner,-5,catch_trial,0.2,-1,12
5,142,valid,19,uniform_control,upper_right,outer,-1,10,1,inner,-1.94444444444444,upper_control,0.296296296296296,1,11
5,143,valid,18,fugal,upper_left,inner,0,7,1,outer,0.148148148148148,upper_fugal,0.296296296296296,-1,10
5,144,valid,C,fugal,lower_left,inner,0,7,1,outer,5,catch_trial,0.2,-1,14
5,145,valid,19,uniform_control,lower_left,outer,0,11,1,outer,-0.944444444444444,lower_control,0.444444444444444,1,9
5,146,valid,19,petal,lower_left,inner,1,8,0.75,outer,-1.9,lower_petal,0.2,-1,12
5,147,valid,18,fugal,lower_right,inner,-1,6,1.25,inner,-1.26666666666667,lower_fugal,0.2,-1,14
5,148,valid,19,fugal,upper_right,outer,-1,10,1.25,inner,-0.148148148148148,upper_fugal,0.296296296296296,-1,10
5,149,valid,C,petal,upper_right,outer,0,11,1,outer,5,catch_trial,0.2,-1,12
5,150,valid,19,fugal,lower_left,inner,1,8,1,inner,-1.06666666666667,lower_fugal,0.2,1,15
6,151,valid,C,uniform_control,lower_left,outer,0,11,1,inner,-5,catch_trial,0.296296296296296,-1,10
6,152,valid,20,uniform_control,lower_right,outer,1,12,0.75,outer,-1.24074074074074,lower_control,0.296296296296296,-1,10
6,153,valid,20,fugal,lower_left,outer,0,11,0.75,outer,-0.866666666666667,lower_fugal,0.2,1,15
6,154,valid,20,uniform_control,upper_left,inner,-1,6,0.75,outer,-1.64814814814815,upper_control,0.296296296296296,1,11
6,155,valid,21,uniform_control,upper_right,outer,0,11,0.75,inner,-1.84814814814815,upper_control,0.2,-1,12
6,156,valid,20,petal,upper_right,outer,1,12,1,outer,-1.21851851851852,upper_petal,0.2,-1,12
6,157,valid,20,fugal,upper_left,inner,-1,6,1.25,outer,0.148148148148148,upper_fugal,0.296296296296296,1,11
6,158,valid,21,fugal,upper_right,inner,0,7,0.75,inner,-0.0518518518518519,upper_fugal,0.2,-1,12
6,159,valid,20,petal,lower_left,outer,0,11,1,inner,-2.1,lower_petal,0.2,-1,12
6,160,valid,C,fugal,upper_left,outer,0,11,1,outer,5,catch_trial,0.2,1,13
6,161,valid,21,fugal,lower_left,inner,1,8,0.75,inner,-1.06666666666667,lower_fugal,0.2,-1,16
6,162,valid,C,petal,lower_right,inner,0,7,1,outer,5,catch_trial,0.2,1,13
6,163,valid,21,petal,lower_right,outer,0,11,1,outer,-1.9,lower_petal,0.2,1,13
6,164,valid,22,petal,lower_left,inner,1,8,1.25,inner,-2.1,lower_petal,0.2,-1,14
6,165,valid,C,petal,upper_left,outer,0,11,1,outer,5,catch_trial,0.2,-1,12
6,166,valid,21,petal,upper_left,inner,0,7,0.75,outer,-1.41851851851852,upper_petal,0.2,-1,12
6,167,valid,23,petal,lower_right,inner,-1,6,0.75,inner,-1.9,lower_petal,0.2,1,15
6,168,valid,22,petal,upper_left,outer,-1,10,1,outer,-1.61851851851852,upper_petal,0.2,-1,12
6,169,valid,23,petal,upper_right,inner,-1,6,1.25,outer,-1.81851851851852,upper_petal,0.2,-1,12
6,170,valid,22,fugal,upper_right,outer,-1,10,0.75,outer,0.148148148148148,upper_fugal,0.2,1,13
6,171,valid,C,uniform_control,upper_right,inner,0,7,1,outer,5,catch_trial,0.2,1,13
6,172,valid,21,uniform_control,lower_right,inner,1,8,0.75,inner,-1.53703703703704,lower_control,0.296296296296296,-1,10
6,173,valid,22,uniform_control,lower_left,inner,0,7,1,outer,-1.24074074074074,lower_control,0.296296296296296,1,11
6,174,valid,C,fugal,lower_right,inner,0,7,1,inner,-5,catch_trial,0.2,1,17
6,175,valid,23,fugal,upper_left,outer,0,11,0.75,outer,-0.0518518518518519,upper_fugal,0.2,-1,14
6,176,valid,22,uniform_control,upper_left,outer,-1,10,1,outer,-1.64814814814815,upper_control,0.2,1,13
6,177,valid,22,fugal,lower_right,outer,-1,10,1.25,outer,-0.866666666666667,lower_fugal,0.2,1,17
6,178,valid,23,uniform_control,lower_left,outer,1,12,1,outer,-1.44074074074074,lower_control,0.2,-1,12
6,179,valid,23,uniform_control,upper_right,inner,0,7,1,outer,-1.84814814814815,upper_control,0.2,-1,14
6,180,valid,23,fugal,lower_right,inner,0,7,1,inner,-1.06666666666667,lower_fugal,0.2,-1,18
